"filename", "language", "JavaScript", "CSS", "XML", "Ruby", "HTML", "Markdown", "JavaScript JSX", "Shell Script", "JSON", "YAML", "comment", "blank", "total"
"/Users/dgee/Documents/blog/blog/archetypes/default.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/dgee/Documents/blog/blog/assets/scripts/ui_journey_app_1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 8, 50
"/Users/dgee/Documents/blog/blog/assets/scripts/ui_journey_app_2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/dgee/Documents/blog/blog/babel.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/dgee/Documents/blog/blog/content/blog/2012/09/cisco-me3750-eompls-over-es-ports.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"/Users/dgee/Documents/blog/blog/content/blog/2012/09/skilled-teams-and-the-not-so-skilled.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 17, 56
"/Users/dgee/Documents/blog/blog/content/blog/2012/10/business-acumen-in-networking.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 12, 40
"/Users/dgee/Documents/blog/blog/content/blog/2012/10/f-vrf-ipsec.md", "Markdown", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 12, 106
"/Users/dgee/Documents/blog/blog/content/blog/2013/05/cloud-fog-automation-and-ruby-step-1-with-junos.md", "Markdown", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 74, 184
"/Users/dgee/Documents/blog/blog/content/blog/2013/06/junos-vlan-stretch-srx-branch-who-needs-ciscos-otv.md", "Markdown", 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 54, 314
"/Users/dgee/Documents/blog/blog/content/blog/2013/09/vrfs.md", "Markdown", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 43, 202
"/Users/dgee/Documents/blog/blog/content/blog/2013/10/ipv4-ipv6-global-multicast-addressing.md", "Markdown", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 45, 135
"/Users/dgee/Documents/blog/blog/content/blog/2014/04/ciscolivewriteup.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 13, 32
"/Users/dgee/Documents/blog/blog/content/blog/2014/04/objectifying-network-using-python.md", "Markdown", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 96, 388
"/Users/dgee/Documents/blog/blog/content/blog/2014/05/cli-scraping-python.md", "Markdown", 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 137, 502
"/Users/dgee/Documents/blog/blog/content/blog/2014/05/from-cli-to-python-beginner.md", "Markdown", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 81, 204
"/Users/dgee/Documents/blog/blog/content/blog/2014/05/using-ciscos-onepk-python.md", "Markdown", 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 89, 380
"/Users/dgee/Documents/blog/blog/content/blog/2014/05/using-juniper-pyez-library.md", "Markdown", 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 0, 126, 562
"/Users/dgee/Documents/blog/blog/content/blog/2014/06/cognitively-adjusted-networking.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 14, 36
"/Users/dgee/Documents/blog/blog/content/blog/2014/06/vxlan-mtu-vs-ip-mtu-consideration.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 29, 78
"/Users/dgee/Documents/blog/blog/content/blog/2014/07/devops-will-adopt-networking.md", "Markdown", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 16, 40
"/Users/dgee/Documents/blog/blog/content/blog/2014/07/netdevops-journey-begins.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"/Users/dgee/Documents/blog/blog/content/blog/2014/08/network-automation-devops-vs-netops-right-tools.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 33, 96
"/Users/dgee/Documents/blog/blog/content/blog/2014/08/network-automation-shifting-fear-landscape.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 20, 48
"/Users/dgee/Documents/blog/blog/content/blog/2014/09/big-switch-tap-fabric.md", "Markdown", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 23, 54
"/Users/dgee/Documents/blog/blog/content/blog/2014/09/cisco-aci-hardware-scalability.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"/Users/dgee/Documents/blog/blog/content/blog/2014/09/network-automation-controller-questionnaire.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"/Users/dgee/Documents/blog/blog/content/blog/2014/09/network-aware-software-rubbish-idea-opendaylight-function.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 21, 50
